chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw
AgCrTi,0.677771,3,1.0986122886681098,69.24382666666666,4.333333333333333,6.999999999999999,1785.31,8.0,4.666666666666666,1.71
AgMn3N,1.80766,3,0.9502705392332346,57.33787058,3.8,9.4,1171.016,-65.92,6.0,1.9240000000000002
AlCo2Cr,0.7509859999999999,3,1.0397207708399179,49.2110218425,3.75,9.25,1662.3675,-14.0,4.75,1.7575
AlCo2Fe,1.252635,3,1.0397207708399179,50.1732818425,3.75,9.75,1570.1175,-12.75,4.75,1.8
AlCo2Hf,0.210034,3,1.0397207708399179,80.8349818425,4.25,8.75,1743.8675,-36.75,4.25,1.6675
AlCo2Mn,1.0153949999999998,3,1.0397207708399179,49.9464929175,3.75,9.5,1497.1175,-16.75,5.0,1.73
AlCo2Nb,0.436259,3,1.0397207708399179,59.4385748425,4.0,9.0,1804.8675,-26.5,4.5,1.7425
AlCo2Ta,0.42968799999999996,3,1.0397207708399179,81.44895234250001,4.25,9.0,1939.8675,-26.25,4.5,1.7175
AlCo2V,0.487486,3,1.0397207708399179,48.9473593425,3.75,9.0,1663.1175,-20.5,4.5,1.75
AlCo2Zr,0.20665599999999998,3,1.0397207708399179,59.018031842499994,4.0,8.75,1649.3675,-41.0,4.25,1.675
AlCrCu2,0.6688200000000001,3,1.0397207708399179,51.5175746425,3.75,10.25,1457.2525,3.0,4.25,1.7675
AlCrFe2,0.254618,3,1.0397207708399179,47.6670246425,3.75,8.75,1683.8675,-8.5,5.25,1.7325000000000002
AlCrNi2,0.790662,3,1.0397207708399179,49.091144642500005,3.75,9.75,1642.3675,-17.0,4.25,1.7725
AlCrRu2,0.234834,3,1.0397207708399179,70.28042464250001,4.25,8.75,2081.8675000000003,-19.0,6.25,1.9175000000000002
AlCu2Mn,0.7908000000000001,3,1.0397207708399179,52.2530457175,3.75,10.5,1292.0025,-3.25,4.5,1.74
AlFe,0.351329,2,0.6931471805599453,41.413369285,3.5,10.5,1372.2350000000001,-11.0,4.5,1.7200000000000002
AlFe2,1.0952600000000001,2,0.6365141682948129,46.22397952333333,3.6666666666666665,9.666666666666666,1518.4899999999998,-9.777777777777777,5.0,1.7566666666666666
AlFe2Mo,0.18867099999999998,3,1.0397207708399179,58.65573464249999,4.0,8.75,1862.8675,-7.75,5.25,1.8575000000000002
AlFe2Ni,1.109605,3,1.0397207708399179,49.341344642500005,3.75,9.75,1570.8675,-12.0,4.75,1.795
AlFe2Ti,0.21737099999999998,3,1.0397207708399179,46.6347596425,3.75,8.25,1624.1175,-21.5,4.75,1.7025000000000001
AlFe2W,0.204589,3,1.0397207708399179,80.6282346425,4.25,8.75,2062.6175000000003,-6.0,5.25,1.9075000000000002
AlFe3,1.47028,2,0.5623351446188083,48.6292846425,3.75,9.25,1591.6175,-8.25,5.25,1.7750000000000001
AlMn,0.8,2,0.6931471805599453,40.959791435,3.5,10.0,1226.2350000000001,-19.0,5.0,1.58
AlMn2Nb,0.427515,3,1.0397207708399179,57.4409997925,4.0,8.0,1680.3675,-16.0,5.5,1.5775000000000001
AlMn2Ta,0.430874,3,1.0397207708399179,79.4513772925,4.25,8.0,1815.3675,-16.25,5.5,1.5525
AlMn2Ti,0.657237,3,1.0397207708399179,46.1811817925,3.75,7.75,1478.1175,-21.0,5.25,1.5625
AlMn2V,0.472875,3,1.0397207708399179,46.9497842925,3.75,8.0,1538.6175,-14.0,5.5,1.585
AlMn2W,0.22447799999999998,3,1.0397207708399179,80.1746567925,4.25,8.25,1916.6175,-7.0,5.75,1.7675
AlMnNi2,0.9991500000000001,3,1.0397207708399179,49.826615717500005,3.75,10.0,1477.1175,-19.75,4.5,1.7449999999999999
AlMnOs2,0.47050899999999996,3,1.0397207708399179,115.5963957175,4.75,9.0,2266.1175000000003,-18.25,6.5,1.8900000000000001
AlMnPd2,0.823233,3,1.0397207708399179,73.6903957175,4.25,10.0,1527.1425,-39.25,4.5,1.8900000000000001
AlMnPt2,0.830442,3,1.0397207708399179,118.0223457175,4.75,10.0,1633.8175,-40.75,5.5,1.93
AlMnRh2,0.8643689999999999,3,1.0397207708399179,71.9326467175,4.25,9.5,1731.6175,-28.75,5.5,1.93
AlMnRu2,0.461335,3,1.0397207708399179,71.0158957175,4.25,9.0,1916.6175,-20.75,6.5,1.8900000000000001
AlMnTc,0.8929229999999999,3,1.0986122886681098,59.973194289999995,4.0,9.0,1627.49,-20.888888888888893,5.666666666666666,1.6866666666666665
AuMn,1.4456,2,0.6931471805599453,125.9523069,5.0,9.0,1428.165,-11.0,6.0,2.045
AuMnSb,0.7994439999999999,3,1.0986122886681098,124.55490459999999,5.0,11.0,1253.37,-11.555555555555554,5.666666666666666,2.0466666666666664
AuMnSn,0.733518,3,1.0986122886681098,123.53843793333333,5.0,10.666666666666666,1120.4699999999998,-12.444444444444443,5.333333333333333,2.0166666666666666
BFe2,1.595,2,0.6365141682948129,40.83346666666666,3.333333333333333,9.666666666666666,1990.3333333333333,-23.11111111111111,5.0,1.9
BFe3,1.654,2,0.5623351446188083,44.5864,3.5,9.25,1945.5,-19.5,5.25,1.8825
BFe4,1.85,2,0.5004024235381879,46.83816,3.6,9.0,1918.6000000000001,-16.640000000000004,5.4,1.8720000000000003
BFe5,1.992,2,0.45056120886630463,48.339333333333336,3.666666666666667,8.833333333333334,1900.6666666666667,-14.444444444444445,5.5,1.8650000000000002
BFe6,2.077,2,0.41011631828840905,49.41159999999999,3.714285714285714,8.714285714285714,1887.8571428571427,-12.734693877551019,5.571428571428571,1.8599999999999999
Be2MnPt,0.839696,3,1.0397207708399179,67.01182765,3.5,5.25,1670.1,-17.0,4.25,1.7425000000000002
Be2MnRh,0.854216,3,1.0397207708399179,43.96697815,3.25,5.0,1719.0,-12.0,4.25,1.7425
BeCo2V,0.249156,3,1.0397207708399179,44.4550204875,3.5,6.25,1819.75,-13.0,4.25,1.74
BeFe2Si,0.340784,3,1.0397207708399179,37.1968957875,3.25,8.0,1717.25,-23.25,4.5,1.7825
BeFe2V,0.24081000000000002,3,1.0397207708399179,42.9110232875,3.5,5.75,1841.25,-9.5,4.75,1.715
BeFeRh2,0.9647800000000001,3,1.0397207708399179,67.6670967875,4.0,7.0,1961.25,-6.5,5.0,1.99
BiCoTl,0.252783,3,1.0986122886681098,157.43119846666664,5.333333333333333,12.333333333333334,963.2333333333331,13.777777777777777,4.333333333333333,1.8399999999999999
BiFe12Sn3,1.446,3,0.7029189307735104,77.2034313125,4.3125,9.5625,1486.9962500000001,11.109375,5.5625,1.86625
Ce3Fe100Si20Zr7,1.11,4,0.7340815890765018,55.42413615384615,3.9461538461538463,8.592307692307694,1791.8461538461538,-24.257514792899407,5.538461538461538,1.7974615384615387
Ce3Fe50Si10Zr2,1.12,4,0.7388621556114527,56.552410769230775,3.9692307692307693,8.569230769230769,1767.3846153846155,-22.104615384615386,5.538461538461539,1.7926153846153847
CeCo2Fe9Ti,1.23,4,0.9371558530657009,62.18895298461538,4.153846153846154,7.461538461538462,1757.2307692307693,-5.159763313609468,5.538461538461538,1.7607692307692309
Co2CrGa,0.753462,3,1.0397207708399179,59.8964122,4.0,9.25,1504.72865,-7.75,4.75,1.8075
Co2CrIn,0.694217,3,1.0397207708399179,71.1701622,4.25,9.25,1536.437125,6.5,4.75,1.8
Co2Fe9SmTi,1.1,4,0.9371558530657009,62.97709913846154,4.153846153846154,7.461538461538461,1778.5384615384614,-6.272189349112427,5.461538461538461,1.7646153846153845
Co2FeGa,1.247355,3,1.0397207708399179,60.8586722,4.0,9.75,1412.47865,-6.5,4.75,1.85
Co2FeGe,1.369815,3,1.0397207708399179,61.5855972,4.0,10.0,1639.6,-15.125,5.0,1.9
Co2FeIn,1.1212,3,1.0397207708399179,72.1324222,4.25,9.75,1444.187125,7.75,4.75,1.8425
Co2FeSi,1.39764,3,1.0397207708399179,50.4491472,3.75,10.0,1758.5,-28.25,5.0,1.8725
Co2GaHf,0.21184699999999998,3,1.0397207708399179,91.5203722,4.5,8.75,1586.22865,-31.5,4.25,1.7175
Co2GaMn,1.02528,3,1.0397207708399179,60.631883275,4.0,9.5,1339.47865,-11.25,5.0,1.78
Co2GaNb,0.436365,3,1.0397207708399179,70.1239652,4.25,9.0,1647.22865,-20.0,4.5,1.7925
Co2GaTa,0.429677,3,1.0397207708399179,92.13434269999999,4.5,9.0,1782.22865,-20.0,4.5,1.7675
Co2GaTi,0.233842,3,1.0397207708399179,58.8641472,4.0,8.75,1444.97865,-25.25,4.25,1.7775
Co2GaV,0.488201,3,1.0397207708399179,59.6327497,4.0,9.0,1505.47865,-14.5,4.5,1.8
Co2GeMn,1.228915,3,1.0397207708399179,61.358808275,4.0,9.75,1566.6,-21.125,5.25,1.8299999999999998
Co2GeTi,0.464894,3,1.0397207708399179,59.5910722,4.0,9.0,1672.1,-37.625,4.5,1.8275
Co2GeV,0.6710119999999999,3,1.0397207708399179,60.3596747,4.0,9.25,1732.6,-25.625,4.75,1.8499999999999999
Co2Hf,0.323359,2,0.6365141682948129,98.7861296,4.666666666666666,7.333333333333333,2013.9999999999998,-31.11111111111111,4.666666666666666,1.6866666666666665
Co2HfIn,0.20083099999999998,3,1.0397207708399179,102.7941222,4.75,8.75,1617.937125,-18.5,4.25,1.71
Co2HfSn,0.379177,3,1.0397207708399179,103.76727220000001,4.75,9.0,1636.77,-26.25,4.5,1.755
Co2MnSb,1.27708,3,1.0397207708399179,73.641133275,4.25,10.0,1489.695,-4.25,5.5,1.8399999999999999
Co2MnSi,1.3030599999999999,3,1.0397207708399179,50.222358275,3.75,9.75,1685.5,-32.75,5.25,1.8025
Co2MnSn,1.09268,3,1.0397207708399179,72.878783275,4.25,9.75,1390.02,-4.25,5.25,1.8175
Co2MnTi,1.155535,3,1.0397207708399179,55.167883274999994,4.0,7.25,1749.0,-18.5,5.25,1.7125
Co2Mo3N,0.314862,3,1.0114042647073518,69.95439813333333,4.166666666666666,8.500000000000002,2047.8583333333333,-58.33333333333333,5.5,2.2133333333333334
Co2NbSn,0.34359,3,1.0397207708399179,82.3708652,4.5,9.25,1697.77,-12.75,4.75,1.83
Co2NbZn,0.224327,3,1.0397207708399179,69.0386902,4.25,8.75,1744.67,-15.25,4.25,1.7525
Co2Sc,0.505062,2,0.6365141682948129,54.274099099999994,4.0,7.0,1783.333333333333,-26.666666666666664,4.333333333333333,1.7066666666666666
Co2ScSn,0.203947,3,1.0397207708399179,70.383249325,4.25,8.75,1463.77,-26.25,4.25,1.77
Co2SiTi,0.48330399999999996,3,1.0397207708399179,48.454622199999996,3.75,9.0,1791.0,-49.5,4.5,1.8
Co2SiV,0.672747,3,1.0397207708399179,49.223224699999996,3.75,9.25,1851.5,-38.0,4.75,1.8225
Co2SnTi,0.41225599999999996,3,1.0397207708399179,71.1110472,4.25,9.0,1495.52,-19.25,4.5,1.815
Co2SnV,0.636079,3,1.0397207708399179,71.8796497,4.25,9.25,1556.02,-7.25,4.75,1.8375
Co2SnZr,0.37249499999999997,3,1.0397207708399179,81.9503222,4.5,9.0,1542.27,-31.25,4.5,1.7625
Co2Ta,0.22830699999999998,2,0.6365141682948129,99.60475693333332,4.666666666666666,7.666666666666667,2275.333333333333,-21.333333333333332,5.0,1.7533333333333332
Co2TaZn,0.21212199999999998,3,1.0397207708399179,91.0490677,4.5,8.75,1879.67,-15.25,4.25,1.7275
Co2Y,0.46491000000000005,2,0.6365141682948129,68.92407693333334,4.333333333333333,7.0,1778.333333333333,-19.555555555555554,4.333333333333333,1.66
Co3Ta,0.33097499999999996,2,0.5623351446188083,89.43686629999999,4.5,8.0,2148.5,-18.0,5.0,1.785
Co3Ti,0.659674,2,0.5623351446188083,56.1666708,4.0,7.75,1811.25,-21.0,4.75,1.795
Co5Ta,0.858,2,0.45056120886630463,79.26897566666666,4.333333333333333,8.333333333333334,2021.6666666666667,-13.333333333333334,5.0,1.8166666666666667
Co5Ta2,0.35100000000000003,2,0.5982695885852573,93.7945337142857,4.571428571428571,7.857142857142858,2202.857142857143,-19.591836734693878,5.0,1.7714285714285714
